toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,st_rad_err,st_logg_err,st_teff_err,notes,accepted,st_rho,a,b,u_star1,u_star2,u_star1_sd,u_star2_sd,ror
1521.01,1521,366074069,366074069.01,1,PC,23h47m04.94s,356.770579,,,+69d02m58.28s,69.049522,,,-6.51,0.044,-0.044,0.0,1.0,-11.243,0.042,-0.042,0.0,1.0,2458768.08864,0.00071,-0.00071,0,1,4.18106,0.00012,-0.00012,0,1,4.574,0.084,-0.084,0,1,5180.0,0.24544,-0.24544,0,1,16.9776,0.813943,-0.813943,0,1,1085.44,,,,,1599.0,,,,,9.78876,0.006,-0.006,0,1,317.752,2.623,-2.623,0,1,6146.0,188.9,-188.9,0,1,3.78,0.09,-0.09,0,1,2.31,0.11,-0.11,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.11,0.09,188.9,,True,0.1341132490068532,4.985807672704859,0.7001696710191454,0.4010613748442673,0.1396912405270401,0.000523228219212,0.0009581072826965,0.07069130222257106
1536.01,1536,445137888,445137888.01,1,PC,00h45m12.58s,11.3024,,,+56d04m12.21s,56.070058,,,-0.129,0.082,-0.082,0.0,1.0,-1.659,0.086,-0.086,0.0,1.0,2458765.06744,0.00596,-0.00596,0,1,2.0139,0.00032,-0.00032,0,1,1.661,0.285,-0.285,0,1,690.0,2.8285,-2.8285,0,1,7.37031,0.864438,-0.864438,0,1,5884.18,,,,,2439.0,,,,,10.3654,0.033,-0.033,0,1,795.905,74.344,-74.344,0,1,10310.0,617.1,-617.1,0,1,4.01,0.1,-0.1,0,1,2.68,0.26,-0.26,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.26,0.1,617.1,,True,0.1963129140161424,3.478528651807871,0.926802772721858,0.2265728151680297,0.134770599925885,0.0002941055336451,0.0007193096972927,0.027789030699148922
1546.01,1546,194203348,194203348.01,1,PC,00h04m47.24s,1.196825,,,+41d35m37.97s,41.59388,,,-23.294,0.134,-0.134,0.0,1.0,-29.277,0.083,-0.083,0.0,1.0,2458764.83324,0.00821,-0.00821,0,1,1.13345,0.0006,-0.0006,0,1,1.894,0.435,-0.435,0,1,490.0,1.8831,-1.8831,0,1,3.03424,0.268139,-0.268139,0,1,3611.25,,,,,2159.0,,,,,9.87731,0.006,-0.006,0,1,210.101,5.846,-5.846,0,1,6223.0,106.3,-106.3,0,1,4.23,0.08,-0.08,0,1,1.4,0.08,-0.08,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.08,0.08,106.3,,True,0.6236711115646031,3.485840255384541,0.647021584910964,0.3967703778558051,0.1535070705639547,0.0006512699504773,0.001079794142069,0.021447456521855375
1551.01,1551,288348498,288348498.01,1,PC,01h18m48.09s,19.700387,,,+41d30m22s,41.506112,,,-11.252,0.069,-0.069,0.0,1.0,-16.638,0.076,-0.076,0.0,1.0,2458765.11138,0.00229,-0.00229,0,1,1.67546,0.00029,-0.00029,0,1,1.202,0.196,-0.196,0,1,1250.0,2.65702,-2.65702,0,1,6.44889,0.417778,-0.417778,0,1,855.787,,,,,1506.0,,,,,9.967,0.008,-0.008,0,1,313.229,5.0305,-5.0305,0,1,6745.5,110.1,-110.1,0,1,4.09,0.09,-0.09,0,1,1.78,0.07,-0.07,0,1,2019-12-05 21:41:11,2021-10-29 12:59:15,0.07,0.09,110.1,,True,0.3553560071170081,3.7500001935720366,0.9359397220236784,0.3646919818664771,0.1467865363592139,0.0002760417146143,0.000607608013796,0.038991258419920946
1559.01,1559,241040309,241040309.01,1,PC,01h22m52.18s,20.717398,,,+48d57m19.31s,48.955364,,,3.798,0.085,-0.085,0.0,1.0,-6.27,0.09,-0.09,0.0,1.0,2458764.93926,0.00317,-0.00317,0,1,3.46479,0.00043,-0.00043,0,1,1.009,0.311,-0.311,0,1,1150.0,8.35472,-8.35472,0,1,9.20223,0.922291,-0.922291,0,1,387.778,,,,,1236.0,,,,,10.3978,0.009,-0.009,0,1,685.251,26.3785,-26.3785,0,1,8455.3,109.4,-109.4,0,1,3.95,0.08,-0.08,0,1,2.54,0.12,-0.12,0,1,2019-12-19 20:58:20,2021-10-29 12:59:15,0.12,0.08,109.4,,True,0.1804055720188663,4.855738470000735,0.9827195500596904,0.2538149104449426,0.1713533011479739,0.000567051733138,0.0009405582354612,0.038744946224288215
1560.01,1560,241076290,241076290.01,1,PC,01h56m07.89s,29.032856,,,+52d35m07.74s,52.585482,,,3.483,0.119,-0.119,0.0,1.0,-4.865,0.139,-0.139,0.0,1.0,2458790.84795,0.00147,-0.00147,0,1,0.25792,3e-05,-3e-05,0,1,0.475,0.149,-0.149,0,1,950.0,18.3704,-18.3704,0,1,8.51808,1.06722,-1.06722,0,1,46846.6,,,,,4098.0,,,,,10.1942,0.007,-0.007,0,1,560.222,22.793,-22.793,0,1,9035.0,204.2,-204.2,0,1,4.16,0.08,-0.08,0,1,2.09,0.1,-0.1,0,1,2019-12-19 20:58:20,2021-10-29 12:59:15,0.1,0.08,204.2,,True,0.3555800425515923,1.077349215305262,0.9656842349453326,0.2355518688001609,0.1698644038966426,0.0003139263123255,0.0005282261348997,0.034034122485878684
1593.01,1593,192372961,192372961.01,1,PC,03h02m23.61s,45.598372,,,+43d11m01.69s,43.183802,,,10.679,0.074,-0.074,0.0,1.0,-11.741,0.067,-0.067,0.0,1.0,2458792.29644,0.00617,-0.00617,0,1,2.06313,0.00099,-0.00099,0,1,2.157,0.485,-0.485,0,1,600.0,2.56623,-2.56623,0,1,11.9118,0.988067,-0.988067,0,1,1866.39,,,,,1831.0,,,,,9.1222,0.007,-0.007,0,1,550.183,12.998,-12.998,0,1,6716.5,99.8,-99.8,0,1,3.24,0.09,-0.09,0,1,4.77,0.21,-0.21,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.21,0.09,99.8,,True,0.0187311863549855,1.615326004779828,0.975258801847619,0.3753394608995304,0.1403443172548476,0.0006193805292646,0.0009619115757306,0.028648582958197614
1596.01,1596,431899140,431899140.01,1,PC,03h44m53.41s,56.222542,,,+45d30m25.88s,45.507188,,,-0.869,0.123,-0.123,0.0,1.0,-0.576,0.086,-0.086,0.0,1.0,2458792.20585,0.00381,-0.00381,0,1,1.97656,0.0007,-0.0007,0,1,3.102,0.758,-0.758,0,1,1120.0,4.88661,-4.88661,0,1,13.6974,1.24199,-1.24199,0,1,24091.5,,,,,3470.0,,,,,10.0888,0.02,-0.02,0,1,710.919,26.476,-26.476,0,1,7962.9,130.5,-130.5,0,1,3.6,0.1,-0.1,0,1,3.62,0.23,-0.23,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.23,0.1,130.5,,True,0.0565425112546211,2.2687452142292237,0.8847450220232649,0.2844671943278365,0.1640195498664114,0.0006804099868684,0.0011899817495488,0.0350270575617778
1605.01,1605,101037590,101037590.01,1,PC,03h37m55.41s,54.48089,,,+33d04m47.63s,33.079897,,,-40.365,0.106,-0.106,0.0,1.0,8.767,0.062,-0.062,0.0,1.0,2458798.7416,0.00122,-0.00122,0,1,8.70769,0.00143,-0.00143,0,1,2.745,0.304,-0.304,0,1,4920.0,5.685,-5.685,0,1,12.8676,0.796009,-0.796009,0,1,191.458,,,,,1036.0,,,,,9.62924,0.006,-0.006,0,1,159.748,1.5125,-1.5125,0,1,5597.0,146.5,-146.5,0,1,4.03,0.08,-0.08,0,1,1.59,0.08,-0.08,0,1,2019-12-19 20:58:22,2021-10-29 12:59:15,0.08,0.08,146.5,,True,0.3464866765626019,11.157104817398505,0.8877147534640942,0.4437724267607605,0.1349663550644681,0.0008377543433386,0.0012934686728167,0.0752267858013186
1655.01,1655,266500992,266500992.01,1,PC,04h04m41.34s,61.172234,,,+52d15m25.17s,52.256992,,,5.89,0.071,-0.071,0.0,1.0,-16.735,0.048,-0.048,0.0,1.0,2458819.70953,0.00524,-0.00524,0,1,3.27767,0.00135,-0.00135,0,1,3.071,0.488,-0.488,0,1,1050.0,2.581,-2.581,0,1,3.67705,0.289268,-0.289268,0,1,573.692,,,,,1363.0,,,,,10.3309,0.006,-0.006,0,1,165.314,0.987,-0.987,0,1,5411.0,153.9,-153.9,0,1,4.29,0.09,-0.09,0,1,1.15,0.06,-0.06,0,1,2020-01-29 22:18:55,2021-10-29 12:59:15,0.06,0.09,153.9,,True,0.8717376900106425,7.910904083823341,0.2421438153455488,0.4473265812576661,0.1358785203604706,0.001035341808945,0.0015715881423885,0.029690028191691732
