# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 17 03:21:35 2022
#
# COLUMN toi:            TESS Object of Interest
# COLUMN toipfx:         TESS Object of Interest Prefix
# COLUMN tid:            TESS Input Catalog ID
# COLUMN ctoi_alias:     TESS Input Catalog of Interest Alias
# COLUMN pl_pnum:        Pipeline Signal ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN raerr1:         RA Upper Unc
# COLUMN raerr2:         RA Lower Unc
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN decerr1:        Dec Upper Unc
# COLUMN decerr2:        Dec Lower Unc
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmraerr1:    PMRA Upper Unc [mas/yr]
# COLUMN st_pmraerr2:    PMRA Lower Unc [mas/yr]
# COLUMN st_pmralim:     PMRA Limit Flag
# COLUMN st_pmrasymerr:  PMRA Symmetric Error Flag
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN st_pmdecerr1:   PMDec Upper Unc [mas/yr]
# COLUMN st_pmdecerr2:   PMDec Lower Unc [mas/yr]
# COLUMN st_pmdeclim:    PMDec Limit Flag
# COLUMN st_pmdecsymerr: PMDec Symmetric Error Flag
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_tranmidsymerr: Planet Transit Midpoint Symmetric Error Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_orbpersymerr: Planet Orbital Period Symmetric Error Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
# COLUMN pl_trandurhsymerr: Planet Transit Duration Symmetric Error Flag
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_trandeperr1: Planet Transit Depth Upper Unc [ppm]
# COLUMN pl_trandeperr2: Planet Transit Depth Lower Unc [ppm]
# COLUMN pl_trandeplim:  Planet Transit Depth Limit Flag
# COLUMN pl_trandepsymerr: Planet Transit Depth Symmetric Error Flag
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc [R_Earth]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc [R_Earth]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radesymerr:  Planet Radius Symmetric Error Flag
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_insolerr1:   Planet Insolation Upper Unc [Earth flux]
# COLUMN pl_insolerr2:   Planet Insolation Lower Unc [Earth flux]
# COLUMN pl_insollim:    Planet Insolation Limit Flag
# COLUMN pl_insolsymerr: Planet Insolation Symmetric Error Flag
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_eqterr1:     Planet Equilibrium Temperature Upper Unc [K]
# COLUMN pl_eqterr2:     Planet Equilibrium Temperature Lower Unc [K]
# COLUMN pl_eqtlim:      Planet Equilibrium Temperature Limit Flag
# COLUMN pl_eqtsymerr:   Planet Equilibrium Temperature Symmetric Error Flag
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN st_tmagerr2:    TESS Magnitude Lower Unc
# COLUMN st_tmaglim:     TESS Magnitude Limit Flag
# COLUMN st_tmagsymerr:  TESS Magnitude Symmetric Error Flag
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_disterr1:    Stellar Distance Upper Unc [pc]
# COLUMN st_disterr2:    Stellar Distance Lower Unc [pc]
# COLUMN st_distlim:     Stellar Distance Limit Flag
# COLUMN st_distsymerr:  Stellar Distance Symmetric Error Flag
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_tefferr1:    Stellar Effective Termperature Upper Unc [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_teffsymerr:  Stellar Effective Temperature Symmetric Error Flag
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_loggerr1:    Stellar log(g) Upper Unc [cm/s**]
# COLUMN st_loggerr2:    Stellar log(g) Lower Unc [cm/s**2]
# COLUMN st_logglim:     Stellar log(g) Limit Flag
# COLUMN st_loggsymerr:  Stellar log(g) Symmetric Error Flag
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN st_raderr1:     Stellar Radius Upper Unc [R_Sun]
# COLUMN st_raderr2:     Stellar Radius Lower Unc [R_Sun]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radsymerr:   Stellar Radius Symmetric Error Flag
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
1000.01,1000,50365310,50365310.01,1,FP,07h29m25.85s,112.3577080,,,-12d41m45.46s,-12.6959600,,,-5.9640000,0.085,-0.085,0,1,-0.0760000,0.072,-0.072,0,1,2459229.6300460,0.001657,-0.001657,0,1,2.1713484,0.0002637,-0.0002637,0,1,2.0172196,0.3195879,-0.3195879,0,1,656.8860989,37.7782100,-37.7782100,0,1,5.8181633,1.9105465,-1.9105465,0,1,22601.9485814,,,,,3127.2040524,,,,,9.6040000,0.013,-0.013,0,1,485.7350000,11.9515000,-11.9515000,0,1,10249.0000000,264.7000000,-264.7000000,0,1,4.1900000,0.0700000,-0.0700000,0,1,2.1698600,0.0725729,-0.0725729,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.5804650,,,-05d30m49.87s,-5.5138520,,,-4.9560000,0.102,-0.102,0,1,-15.5550000,0.072,-0.072,0,1,2459250.0645490,0.001925,-0.001925,0,1,1.9316710,0.0000077,-0.0000077,0,1,3.1800000,0.1730000,-0.1730000,0,1,1030.0000000,207.8300000,-207.8300000,0,1,10.3168000,3.2145900,-3.2145900,0,1,42432.8000000,,,,,3998.0000000,,,,,9.4234400,0.006,-0.006,0,1,295.8620000,5.9100000,-5.9100000,0,1,7070.0000000,126.4000000,-126.4000000,0,1,4.0300000,0.0900000,-0.0900000,0,1,2.0100000,0.0900000,-0.0900000,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1002.01,1002,124709665,124709665.01,1,FP,06h58m54.47s,104.7269660,,,-10d34m49.64s,-10.5804550,,,-1.4620000,0.206,-0.206,0,1,-2.2490000,0.206,-0.206,0,1,2459224.6878020,0.000625,-0.000625,0,1,1.8675574,0.0000030,-0.0000030,0,1,1.4080000,0.1840000,-0.1840000,0,1,1500.0000000,1.7584000,-1.7584000,0,1,23.7529000,,,0,1,2860.6100000,,,,,2037.0000000,,,,,9.2995010,0.058,-0.058,0,1,943.1090000,106.3330000,-106.3330000,0,1,8924.0000000,124.0000000,-124.0000000,0,1,,,,0,1,5.7300000,,,0,1,2019-07-24 15:58:33,2022-07-11 16:02:02
1003.01,1003,106997505,106997505.01,1,FP,07h22m14.39s,110.5599450,,,-25d12m25.26s,-25.2070170,,,-0.9390000,0.041,-0.041,0,1,1.6400000,0.055,-0.055,0,1,2458493.3957000,0.005350,-0.005350,0,1,2.7432300,0.0010800,-0.0010800,0,1,3.1670000,0.6420000,-0.6420000,0,1,383.4100000,0.7819880,-0.7819880,0,1,,,,0,1,1177.3600000,,,,,1631.0000000,,,,,9.3003000,0.037,-0.037,0,1,7728.1700000,1899.5700000,-1899.5700000,0,1,5388.5000000,567.0000000,-567.0000000,0,1,4.1500000,1.6400000,-1.6400000,0,1,,,,0,1,2019-07-24 15:58:33,2022-02-23 10:10:02
1004.01,1004,238597883,238597883.01,1,FP,08h08m42.77s,122.1781950,,,-48d48m10.12s,-48.8028110,,,-4.4960000,0.069,-0.069,0,1,9.3470000,0.062,-0.062,0,1,2459229.5490320,0.002365,-0.002365,0,1,3.5775748,0.0006687,-0.0006687,0,1,2.9347085,0.3439169,-0.3439169,0,1,501.6028767,35.8673900,-35.8673900,0,1,5.0501110,1.3455745,-1.3455745,0,1,8092.9691359,,,,,2419.0604472,,,,,9.1355000,0.006,-0.006,0,1,356.4370000,4.6175000,-4.6175000,0,1,9219.0000000,171.1000000,-171.1000000,0,1,4.1400000,0.0700000,-0.0700000,0,1,2.1504000,0.0604674,-0.0604674,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1005.01,1005,169904935,169904935.01,1,FP,08h02m49.15s,120.7048110,,,-11d06m05.48s,-11.1015210,,,-26.9320000,1.935,-1.935,0,1,-2.9010000,2.060,-2.060,0,1,2458492.5552000,0.001060,-0.001060,0,1,4.5507200,0.0003300,-0.0003300,0,1,2.5990000,0.2840000,-0.2840000,0,1,3620.0000000,2.1771000,-2.1771000,0,1,6.5444900,0.4571700,-0.4571700,0,1,254.0500000,,,,,1112.0000000,,,,,9.1309000,0.006,-0.006,0,1,100.7110000,14.1210000,-14.1210000,0,1,5613.0000000,179.9000000,-179.9000000,0,1,,,,0,1,1.0900000,0.0700000,-0.0700000,0,1,2019-07-24 15:58:33,2022-02-23 10:10:02
1006.01,1006,156115721,156115721.01,1,FP,08h17m26.22s,124.3592390,,,-27d16m24.68s,-27.2735210,,,-29.1000000,2.600,-2.600,0,1,-6.8000000,2.200,-2.200,0,1,2459229.9845790,0.002159,-0.002159,0,1,2.5047918,0.0004076,-0.0004076,0,1,4.3797563,0.1036554,-0.1036554,0,1,2270.5402194,81.3808800,-81.3808800,0,1,8.6950898,8.4387660,-8.4387660,0,1,1750.9326350,,,,,1649.8220699,,,,,9.2386000,0.006,-0.006,0,1,,,,0,1,6616.0000000,200.0000000,-200.0000000,0,1,,,,0,1,1.5342900,1.4887000,-1.4887000,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.7523930,,,-04d27m48.09s,-4.4633590,,,0.3570000,0.058,-0.058,0,1,3.3990000,0.045,-0.045,0,1,2459247.9306950,0.001300,-0.001300,0,1,6.9989206,0.0000137,-0.0000137,0,1,3.9530000,0.4370000,-0.4370000,0,1,2840.0000000,0.9436180,-0.9436180,0,1,14.7752000,0.7647050,-0.7647050,0,1,448.7440000,,,,,1282.0000000,,,,,8.8775900,0.006,-0.006,0,1,283.2910000,3.0025000,-3.0025000,0,1,6596.0000000,139.2000000,-139.2000000,0,1,3.7100000,0.0900000,-0.0900000,0,1,2.7000000,0.1300000,-0.1300000,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1008.01,1008,440801822,440801822.01,1,FP,07h17m31.88s,109.3828390,,,+13d23m42.79s,13.3952190,,,-17.9000000,1.100,-1.100,0,1,1.3000000,1.000,-1.000,0,1,2458492.5213500,0.005790,-0.005790,0,1,2.0493600,0.0010500,-0.0010500,0,1,2.2340000,0.4010000,-0.4010000,0,1,249.5000000,0.5640340,-0.5640340,0,1,1.7160700,0.3182380,-0.3182380,0,1,2107.0500000,,,,,1887.0000000,,,,,8.9362000,0.012,-0.012,0,1,144.2970000,,,0,1,6858.5000000,584.6000000,-584.6000000,0,1,4.2000000,1.9000000,-1.9000000,0,1,0.9900000,0.1800000,-0.1800000,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1009.01,1009,107782586,107782586.01,1,PC,07h26m40.28s,111.6678450,,,-24d27m43.6s,-24.4621110,,,-3.2970000,0.319,-0.319,0,1,4.8490000,0.358,-0.358,0,1,2459252.7513570,0.001632,-0.001632,0,1,1.9600296,0.0000050,-0.0000050,0,1,1.8420000,0.1580000,-0.1580000,0,1,2100.0000000,922.5820000,-922.5820000,0,1,,,,0,1,26538.5000000,,,,,3555.0000000,,,,,8.4331000,0.028,-0.028,0,1,866.1470000,172.0970000,-172.0970000,0,1,8868.7000000,809.8000000,-809.8000000,0,1,,,,0,1,,,,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
101.01,101,231663901,231663901.01,1,KP,21h14m56.88s,318.7370120,,,-55d52m18.71s,-55.8718630,,,12.6410000,0.044,-0.044,0,1,-16.0110000,0.041,-0.041,0,1,2459036.9041040,0.000393,-0.000393,0,1,1.4303691,0.0000009,-0.0000009,0,1,1.6438728,0.0187562,-0.0187562,0,1,19151.2162143,197.4504900,-197.4504900,0,1,13.2504933,0.6606899,-0.6606899,0,1,1281.2417920,,,,,1525.9050967,,,,,12.4069000,0.006,-0.006,0,1,375.3100000,4.4110000,-4.4110000,0,1,5600.0000000,,,0,1,4.4885100,,,0,1,0.8907740,0.0438467,-0.0438467,0,1,2018-09-05 18:49:20,2021-10-29 12:59:15
1010.01,1010,139853601,139853601.01,1,FP,07h29m10.56s,112.2939810,,,-21d49m58.48s,-21.8329120,,,-5.7460000,0.176,-0.176,0,1,4.5020000,0.261,-0.261,0,1,2459228.8781010,0.000791,-0.000791,0,1,0.6808702,0.0000390,-0.0000390,0,1,2.4634563,0.0557065,-0.0557065,0,1,1507.8006889,39.9711230,-39.9711230,0,1,5.9115908,1.5360428,-1.5360428,0,1,87140.6995884,,,,,4382.0266062,,,,,8.4508600,0.006,-0.006,0,1,485.1220000,36.2460000,-36.2460000,0,1,9438.0000000,782.0000000,-782.0000000,0,1,,,,0,1,1.0000000,,,0,1,2019-07-24 15:58:33,2021-10-29 12:59:15
1011.01,1011,114018671,114018671.01,1,PC,07h35m56.34s,113.9847610,,,-32d50m31.2s,-32.8419990,,,145.1020000,0.046,-0.046,0,1,-134.9010000,0.052,-0.052,0,1,2459231.1308440,0.003123,-0.003123,0,1,2.4696958,0.0005790,-0.0005790,0,1,2.3244437,0.4268169,-0.4268169,0,1,233.4371605,24.5225720,-24.5225720,0,1,1.4549384,1.9059831,-1.9059831,0,1,555.1966304,,,,,1238.0308162,,,,,8.2388000,0.006,-0.006,0,1,52.6200000,0.0793000,-0.0793000,0,1,5413.7000000,132.8000000,-132.8000000,0,1,4.4600000,0.0900000,-0.0900000,0,1,0.9413350,0.0546131,-0.0546131,0,1,2019-07-24 15:58:33,2022-02-22 12:02:03
