toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,st_rad_err,st_logg_err,st_teff_err,notes,accepted
1521.01,1521,366074069,366074069.01,1,PC,23h47m04.94s,356.770579,,,+69d02m58.28s,69.049522,,,-6.51,0.044,-0.044,0.0,1.0,-11.243,0.042,-0.042,0.0,1.0,2458768.08864,0.00071,-0.00071,0,1,4.18106,0.00012,-0.00012,0,1,4.574,0.084,-0.084,0,1,5180.0,0.24544,-0.24544,0,1,16.9776,0.813943,-0.813943,0,1,1085.44,,,,,1599.0,,,,,9.78876,0.006,-0.006,0,1,317.752,2.623,-2.623,0,1,6146.0,188.9,-188.9,0,1,3.78,0.09,-0.09,0,1,2.31,0.11,-0.11,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.11,0.09,188.9,,True
1536.01,1536,445137888,445137888.01,1,PC,00h45m12.58s,11.3024,,,+56d04m12.21s,56.070058,,,-0.129,0.082,-0.082,0.0,1.0,-1.659,0.086,-0.086,0.0,1.0,2458765.06744,0.00596,-0.00596,0,1,2.0139,0.00032,-0.00032,0,1,1.661,0.285,-0.285,0,1,690.0,2.8285,-2.8285,0,1,7.37031,0.864438,-0.864438,0,1,5884.18,,,,,2439.0,,,,,10.3654,0.033,-0.033,0,1,795.905,74.344,-74.344,0,1,10310.0,617.1,-617.1,0,1,4.01,0.1,-0.1,0,1,2.68,0.26,-0.26,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.26,0.1,617.1,,True
1546.01,1546,194203348,194203348.01,1,PC,00h04m47.24s,1.196825,,,+41d35m37.97s,41.59388,,,-23.294,0.134,-0.134,0.0,1.0,-29.277,0.083,-0.083,0.0,1.0,2458764.83324,0.00821,-0.00821,0,1,1.13345,0.0006,-0.0006,0,1,1.894,0.435,-0.435,0,1,490.0,1.8831,-1.8831,0,1,3.03424,0.268139,-0.268139,0,1,3611.25,,,,,2159.0,,,,,9.87731,0.006,-0.006,0,1,210.101,5.846,-5.846,0,1,6223.0,106.3,-106.3,0,1,4.23,0.08,-0.08,0,1,1.4,0.08,-0.08,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.08,0.08,106.3,,True
1551.01,1551,288348498,288348498.01,1,PC,01h18m48.09s,19.700387,,,+41d30m22s,41.506112,,,-11.252,0.069,-0.069,0.0,1.0,-16.638,0.076,-0.076,0.0,1.0,2458765.11138,0.00229,-0.00229,0,1,1.67546,0.00029,-0.00029,0,1,1.202,0.196,-0.196,0,1,1250.0,2.65702,-2.65702,0,1,6.44889,0.417778,-0.417778,0,1,855.787,,,,,1506.0,,,,,9.967,0.008,-0.008,0,1,313.229,5.0305,-5.0305,0,1,6745.5,110.1,-110.1,0,1,4.09,0.09,-0.09,0,1,1.78,0.07,-0.07,0,1,2019-12-05 21:41:11,2021-10-29 12:59:15,0.07,0.09,110.1,,True
1559.01,1559,241040309,241040309.01,1,PC,01h22m52.18s,20.717398,,,+48d57m19.31s,48.955364,,,3.798,0.085,-0.085,0.0,1.0,-6.27,0.09,-0.09,0.0,1.0,2458764.93926,0.00317,-0.00317,0,1,3.46479,0.00043,-0.00043,0,1,1.009,0.311,-0.311,0,1,1150.0,8.35472,-8.35472,0,1,9.20223,0.922291,-0.922291,0,1,387.778,,,,,1236.0,,,,,10.3978,0.009,-0.009,0,1,685.251,26.3785,-26.3785,0,1,8455.3,109.4,-109.4,0,1,3.95,0.08,-0.08,0,1,2.54,0.12,-0.12,0,1,2019-12-19 20:58:20,2021-10-29 12:59:15,0.12,0.08,109.4,,True
1560.01,1560,241076290,241076290.01,1,PC,01h56m07.89s,29.032856,,,+52d35m07.74s,52.585482,,,3.483,0.119,-0.119,0.0,1.0,-4.865,0.139,-0.139,0.0,1.0,2458790.84795,0.00147,-0.00147,0,1,0.25792,3e-05,-3e-05,0,1,0.475,0.149,-0.149,0,1,950.0,18.3704,-18.3704,0,1,8.51808,1.06722,-1.06722,0,1,46846.6,,,,,4098.0,,,,,10.1942,0.007,-0.007,0,1,560.222,22.793,-22.793,0,1,9035.0,204.2,-204.2,0,1,4.16,0.08,-0.08,0,1,2.09,0.1,-0.1,0,1,2019-12-19 20:58:20,2021-10-29 12:59:15,0.1,0.08,204.2,,True
1581.01,1581,370759867,370759867.01,1,PC,01h52m39.25s,28.16355,,,+55d11m09.5s,55.185971,,,44.517,0.084,-0.084,0.0,1.0,-14.626,0.09,-0.09,0.0,1.0,2458810.30671,,,0,1,,,,0,1,4.23,0.253,-0.253,0,1,8410.0,2787.44,-2787.44,0,1,18.6201,5.67282,-5.67282,0,1,,,,,,,,,,,9.76978,0.006,-0.006,0,1,124.547,0.631,-0.631,0,1,5865.0,139.6,-139.6,0,1,4.49,0.08,-0.08,0,1,0.97,0.05,-0.05,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.05,0.08,139.6,,True
1593.01,1593,192372961,192372961.01,1,PC,03h02m23.61s,45.598372,,,+43d11m01.69s,43.183802,,,10.679,0.074,-0.074,0.0,1.0,-11.741,0.067,-0.067,0.0,1.0,2458792.29644,0.00617,-0.00617,0,1,2.06313,0.00099,-0.00099,0,1,2.157,0.485,-0.485,0,1,600.0,2.56623,-2.56623,0,1,11.9118,0.988067,-0.988067,0,1,1866.39,,,,,1831.0,,,,,9.1222,0.007,-0.007,0,1,550.183,12.998,-12.998,0,1,6716.5,99.8,-99.8,0,1,3.24,0.09,-0.09,0,1,4.77,0.21,-0.21,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.21,0.09,99.8,,True
1596.01,1596,431899140,431899140.01,1,PC,03h44m53.41s,56.222542,,,+45d30m25.88s,45.507188,,,-0.869,0.123,-0.123,0.0,1.0,-0.576,0.086,-0.086,0.0,1.0,2458792.20585,0.00381,-0.00381,0,1,1.97656,0.0007,-0.0007,0,1,3.102,0.758,-0.758,0,1,1120.0,4.88661,-4.88661,0,1,13.6974,1.24199,-1.24199,0,1,24091.5,,,,,3470.0,,,,,10.0888,0.02,-0.02,0,1,710.919,26.476,-26.476,0,1,7962.9,130.5,-130.5,0,1,3.6,0.1,-0.1,0,1,3.62,0.23,-0.23,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.23,0.1,130.5,,True
1602.01,1602,129991079,129991079.01,1,PC,02h28m31.78s,37.13241,,,+40d53m28.51s,40.891254,,,18.147,0.083,-0.083,0.0,1.0,-24.997,0.076,-0.076,0.0,1.0,2458792.50412,0.01002,-0.01002,0,1,6.15952,0.00486,-0.00486,0,1,3.834,0.887,-0.887,0,1,1230.0,5.42282,-5.42282,0,1,3.90515,0.327005,-0.327005,0,1,487.519,,,,,1309.0,,,,,10.4375,0.006,-0.006,0,1,208.771,3.0245,-3.0245,0,1,6175.9,111.3,-111.3,0,1,4.44,0.08,-0.08,0,1,1.09,0.05,-0.05,0,1,2019-12-19 20:58:22,2021-10-29 12:59:15,0.05,0.08,111.3,,True
